Ticker,ISIN,Industry,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
BKLA,HOZ3Y71PUPC3,Personal and household,0.4,0.2,0.02,0.62
KIRL,EHSF8KWAJL13,Professional and commercial services,0.64,0.5,0.06,0.04
ASCA,MTP4Z9VSARH1,Real estate operations,0.34,0.75,0.06,0.09
VTUZ,TKIZ81MPVZA3,Aerospace and defense,,0.53,0.35,0.36
LKU,PH21ONMV3VW1,Automobiles and auto parts ,0.25,0.51,0.3,0.18
VUZD,ZVFGYXGFU3V0,Banking services,,0.73,0.09,0.42
NVA,IQB834Q74FL8,Beverages,0.1,0.56,,0.58
EGX,QJ0AQXFLU8E5,Biotechnology and medical research,0.34,0.14,0.24,0.52
JHS,DK34C7PHKJW9,Biotechnology and medical research,0.23,0.02,,0.99
FWJR,GG0LDFVCMW29,Chemicals ,,0.34,0.19,0.71
HHU,LFNT8LZ2J2S1,Collective investments,0.86,,,0.38
DSI,QZK88NP3UAD8,"Computers, phones and household electronics ",0.03,0.6,0.61,
JEO,AG61YRB3A1S8,"Computers, phones and household electronics ",0.3,0.16,0.78,
VBD,EZ1TKYTBNAU3,Construction and engineering,,0.5,0.36,0.38
YPER,JHYIA19Q14O7,Construction materials ,0.65,,0.36,0.23
EMN,YO6499GZAI45,Electronic equipment and parts,0.25,0.54,0,0.45
WUUE,USW6CTE51ZI6,Electronic equipment and parts,0.38,0.09,0.17,0.6
QHE,ZUUFYOX8AK72,Food and drug retailing,0.59,0.35,0.14,0.16
EMC,YGXBZBZMWEV4,Freight and logistics services,0.66,0.06,0.25,0.27
CUSA,VQBBLH136HO6,Healthcare providers and services,0.03,,0.98,0.23
HXSN,XE0NGZSXI982,Homebuilding and construction supplies,0.25,0.29,0.55,0.15
IAIC,RAZ533CNFWP8,Hotels and entertainment services,0.01,0.23,0.18,0.82
FWZ,TC4A8EXF9TC0,Industrial conglomerates,0.26,0.63,0.16,0.19
QQS,DTCA6334S1T0,Insurance,0.12,0.54,0.23,0.35
CVU,YHVA8CECOM46,Investment holding companies,0.21,0.34,0.66,0.03
ABWS,SGJR7J0NFHG5,Leisure products,0,0.48,0.51,0.25
HLQ,JEO5H6HHHM58,Media and publishing,0.18,0.16,0.64,0.26
UZNV,NTMF1R0ASY55,Media and publishing,0.3,0.23,0,0.71
VCGY,HT61Z5EQSJY7,Natural gas utilities,0.25,0.35,0.13,0.51
XCW,BKDP54M0IKV9,Natural gas utilities,0.25,0.21,0.78,
JSY,UMN1ERCSQ1N6,Office equipment,0.49,0.23,0.48,0.04
TFK,JYLVT2TUE5T8,Office equipment,0.21,0.56,0.44,0.03
QHE,OMBFR2U5GDC7,Oil and gas,0.24,0.27,0.15,0.58
VYF,AZQORSLC6V47,Oil and gas related equipment and services,0.06,0.14,0.24,0.8
KDO,PBSPYLQ3L1U8,Paper and forest products,0.04,0.46,0.38,0.36
TZD,UTN32QHK0ZZ0,Personal and household,0.15,0.22,0.86,0.01
FME,LHS71KSGFLJ6,Pharmaceuticals,,0.91,0.07,0.26
SZC,DDZBJS2INBY4,Professional and commercial services,0.1,0.29,0.21,0.64
TZDF,TFNV836Z1U19,Professional and commercial services,0.92,0.3,,0.02
ALP,UHLGXPNXTBE1,Real estate operations,0.5,0.37,0.07,0.3
VCZF,FVPBSS8GYLV9,Semiconductors,0.22,0.29,0.45,0.28
OQPT,VPX5FQV5NEJ4,Software and IT services,0.61,0.22,,0.41
BUWQ,CEOOIXYWNBJ2,Telecommunications services,1,0.08,0.15,0.01
YOBT,TY2LNAN3XWG6,Textiles and apparel,0.12,0.67,,0.45
ZYUT,GS4AM51Z6X10,Textiles and apparel,0.5,,0.03,0.71
OSPP,DTIUNMEMZ974,Transport infrastructure,,0.6,0.43,0.21
SXC,BEKVRFF7DXM3,Homebuilding and construction supplies,0.35,0.04,0.71,0.14
BPK,CQXS1QJIXZ96,Household goods,,0.7,0.39,0.15
MNKT,JD7ZGG60DM08,Construction and engineering,0.6,0.2,0.36,0.07
ZAZ,KUBNH4T7RJV5,Diversified industries,0.7,0.32,0.14,0.07
QMFC,TXNU093HV3S7,Food and tobacco,0.3,0.81,0.04,0.08
UKUB,MK9AN82SFLG3,Healthcare equipment and supplies,0.49,0.06,0.57,0.11
HBJY,JXOKZM3PNZ18,Aerospace and defense,0.18,0.57,0.05,0.43
NSBU,FFUPVRPXB6D6,Aerospace and defense,0.41,,0.16,0.66
DONA,DFNRUV2PK7W4,Banking services,0.89,,0.18,0.16
AFRQ,MJ933WZRQAT2,Biotechnology and medical research,0.25,,0.86,0.12
PPE,URG6MEM96VR4,Chemicals ,0.75,0.3,0.18,0
FJGM,ZNSL6ZJO7ZD5,Coal ,0.27,0.28,0.5,0.18
YJRT,DWI4NUXNRC49,Coal ,0.24,,0.1,0.89
VQOV,TDHWF6QE3K16,Communications and networking,0.4,0.51,0.32,
YMHE,REYJK24RVNB5,Communications and networking,0.87,0.16,0.2,
NVR,DW8ZEVKTQ8U5,"Computers, phones and household electronics ",0.27,0.09,0.84,0.03
NEHY,FZIGIM06WX72,Construction materials ,0.35,0.01,0.62,0.25
TWQP,PD9MB8EZGUQ3,Construction materials ,,0.13,0.54,0.56
XMX,WZ6BXLH6MP33,Construction materials ,0.52,0.44,0.1,0.17
PYEP,BGFP7I2KSVT8,Containers and packaging ,0.51,0.26,0.18,0.28
ENT,LADJWOFHWF80,Diversified industries,0.71,0.29,0.13,0.1
PVOS,POX6CZOIXRF7,Diversified industries,0.03,0.16,0.95,0.09
SYU,MGY2HGBXXDE4,Diversified retail,0.8,,,0.43
ISO,VB175SMTN9Z1,Food and drug retailing,0.8,0.1,0.01,0.32
KXFW,AZ619SHDM2X0,Food and drug retailing,0.41,0.64,0.12,0.06
AOI,FDR0Z98578T2,Food and tobacco,0.16,0.17,0.15,0.75
PVP,RKJOE78TTSO5,Healthcare providers and services,0.55,0.1,0.37,0.21
FUD,FCBPR955OYI5,Homebuilding and construction supplies,0.25,0.22,0.69,0.07
OVII,UAHI9BPI2IM7,Homebuilding and construction supplies,0.35,0.48,0.4,
XWHX,HZL912W3TSI2,Household goods,0.28,,0.7,0.25
CGC,ZHITD5HX5CJ1,Industrial conglomerates,0.19,0.8,0.24,
JEUK,WFDMPD73EFL4,Insurance,0.68,0.32,0.11,0.12
FIH,ER0087ML60Q6,Investment banking and investment services,0.06,0.91,0.15,0.11
KUWQ,VUXYMF8IXUC2,Investment banking and investment services,0.39,0.51,0,0.33
RPAZ,VZTHIN743FD6,Investment holding companies,0.28,0.37,0.37,0.21
BPTC,PXLYDKFPWIS9,Media and publishing,0.44,0.34,,0.45
UQO,AK6P2WVMUGR1,Natural gas utilities,0.01,0.39,0.41,0.42
HBSZ,FGLVY376UXB3,Office equipment,0.75,0.13,0.16,0.19
YVJ,PR3BTYRH1C19,Office equipment,0.16,0.28,,0.79
HPF,UXFKNVU0HDP0,Oil and gas,0.08,,0.27,0.88
SKJ,YY0T9OT8SKG6,Passenger transportation services,0.35,0.13,0.4,0.35
ZLW,VXSIK9GR1LL3,Passenger transportation services,0.33,0.1,0.57,0.23
LXT,EIQTN88IH1B1,Personal and household,0.69,0.33,0.07,0.14
IDSG,NFOHZWUI5G53,Pharmaceuticals,0.38,0.83,,0.02
YDXI,YYYBQFZCI417,Pharmaceuticals,0.51,0.03,0.19,0.5
ACLU,BP5NXWKDHTI6,Professional and commercial services,0.27,0.73,,0.23
XKL,ME9VQXUMG3U2,Professional and commercial services,0.1,0.02,0.9,0.21
OYM,NAOEBSEJWM24,Renewable energy,0.11,0.09,0.11,0.92
JJN,CI7GYWP27AZ2,Software and IT services,0.1,0.66,0.12,0.35
WBZB,GAHGDS7SP532,Software and IT services,0.07,0.69,0.04,0.43
JCBA,BMFU9LSO2409,Specialty retailers,0.25,0.98,,
QJO,CXZYRMQE37W6,Telecommunications services,0.51,0.01,0.1,0.61
PSNF,QCG1DWNM8QF3,Textiles and apparel,0.43,0.09,,0.71
ZGN,IUBQ9ZMFQYF1,Uranium,0.58,,0.35,0.3
AZVT,QNSMPCFXI2Q1,Water and related utilities,0.57,0.17,0.44,0.05
XTNG,KCD8T7CE60H5,Water and related utilities,0.45,0.06,0.46,0.26
VAMI,ENLELAZ93792,Containers and packaging ,0.29,0.06,0.7,0.18
UETW,NSMDXCPD7Y50,Automobiles and auto parts ,0.68,,0.42,0.12
JPHQ,WJXBWJE5WJO6,"Computers, phones and household electronics ",0.19,0.39,0.64,
ZIU,GN960ID0KCF4,Construction and engineering,0.05,,0.67,0.5
UCGG,RTFKIXD3T5L2,Investment holding companies,0.56,0.26,0.4,0
ZXXE,SANSHSVLEWY4,"Machinery, tools, heavy vehicles, trains and ships",0.28,0.51,0.39,0.04
SHOJ,PFSOGHJ2THR8,Media and publishing,0.38,0.72,0.12,
TIVN,XOXGCX367800,Software and IT services,0.31,,0.8,0.11
FFWX,FJ7TDOPTBTY6,Telecommunications services,0.03,0.27,0.29,0.63
ZFAW,CC3JXFIJ4903,Transport infrastructure,0.17,0.76,0.16,0.13
LDYS,MN9E6I4IZTG0,Water and related utilities,0.08,0.14,0.6,0.4
FNHT,KJXRSZA15ML5,Aerospace and defense,,,0.77,0.45
UES,SSMA9YLTCRA2,Automobiles and auto parts ,0.15,0.5,0.1,0.47
JXK,QAOL20BY0X48,Banking services,0.48,0.51,,0.23
KAM,NAWVIXCA8WZ2,Banking services,,0.4,0.65,0.17
VNF,OU1DRS67G5X8,Beverages,,0.17,0.6,0.45
AEX,NN4XWFMS66O0,Biotechnology and medical research,0.28,0.1,0.5,0.34
PIFY,OL5OFORT24N2,Biotechnology and medical research,,0.67,0.12,0.43
FTWF,PC8IJIPK99R2,Coal ,0.17,0.42,0.39,0.24
GXLP,IXFRMTG8IBD4,Collective investments,0.45,0.05,0.72,0
XZGF,UKH85LTDMFY1,Collective investments,0.05,0.93,0.06,0.18
SHH,CGU1T4ZCYA80,Communications and networking,0.59,0.62,0.01,
CEOO,LWYJ6Q7D2OF1,Construction and engineering,0.34,0.27,0.19,0.42
JUOB,BY05WWXMMJ84,Construction and engineering,0.03,0.13,0.82,0.24
OJQ,QAWST9NMWBJ0,Construction and engineering,0.39,0.24,0.17,0.42
CPB,RRNGGNTW17Z0,Diversified retail,0.64,0.18,0.11,0.29
IXMZ,ZDU2S35EAFN4,Diversified retail,0.11,0.38,0.49,0.24
KQV,FPU2PD5ZMS90,Food and tobacco,0.01,0.02,0.48,0.71
IFPB,TUPFYYO6JJ46,Freight and logistics services,0.02,0.25,0.51,0.44
GUS,FEIRA4FQMZS9,Homebuilding and construction supplies,0.24,0.19,0.28,0.51
WWU,GAUF6ILCT519,Hotels and entertainment services,0.08,0.05,0.71,0.38
WRJP,KZBKHP273AN1,Investment banking and investment services,,0.13,0.64,0.45
IXUW,RD76S9ZLXHT6,Leisure products,0.38,,0.84,
BPJ,BHON0IJ27GO4,"Machinery, tools, heavy vehicles, trains and ships",0.07,0.17,0.62,0.36
OJY,MM12PXGESZT5,"Machinery, tools, heavy vehicles, trains and ships",0.06,0.98,,0.18
WWON,QAUOM1T71AW4,"Machinery, tools, heavy vehicles, trains and ships",0.87,0.02,0.07,0.26
ZTWB,VQBFEY1C68R2,"Machinery, tools, heavy vehicles, trains and ships",0.11,0.03,0.88,0.2
NPO,XGIXTDZGVTL6,Multiline utilities,,0.51,0.45,0.26
DBW,ASJ0XIXI0NK8,Natural gas utilities,0.23,,0.94,0.05
DDL,YECH1CI73G96,Office equipment,0.6,,0.39,0.23
QGF,HZV3FXQOYH58,Office equipment,0.14,0.32,0.6,0.16
UXTZ,VGWMTLPBIT63,Office equipment,0.05,0.39,0.37,0.41
WFS,BP2KOK3JQ4E1,Oil and gas related equipment and services,0.16,0.36,0.01,0.69
KOY,UOQCR4B7X906,Paper and forest products,0.03,0.68,0.36,0.15
NUNI,PJXFC7ZLA044,Paper and forest products,0.15,0.13,0.25,0.69
ILFD,YOK45VO83DQ5,Passenger transportation services,0.79,0.11,0.17,0.15
XDX,ZKEQN275JSK3,Personal and household,,0.59,0.63,
XKG,YG6YSQMYXS12,Personal and household,0.33,0.07,0.82,0
FKK,MA9ZEUWC5IZ8,Pharmaceuticals,0.98,0.07,0.17,
SSEB,BBUW4DTC17K8,Real estate operations,,0.46,0.74,0.02
HBS,ANS2OAE5QHH8,Renewable energy,0.57,0.3,0.31,0.04
UYO,TOBRFH7FTCP4,Telecommunications services,0.12,0.59,0.47,0.04
XBF,BLCHN91IW6A9,Telecommunications services,0.03,0.31,0.37,0.51
TLI,VMCI9HS4GUA1,Textiles and apparel,0.36,0.03,0.1,0.73
TUQ,NZEMD0PDLAB3,Automobiles and auto parts ,0.11,0.68,0.39,0.03
WIZK,TY909ECID2Y1,Collective investments,0.54,0.48,0.12,0.07
UPGQ,KCX5OPIPZXX8,Food and drug retailing,0.16,0.12,0.86,0.07
MJUL,TCTDCTRGT5W8,Food and tobacco,0.27,0.56,0.16,0.22
COT,RY2UHWGB7XT8,Hotels and entertainment services,0.54,,0.56,0.11
RMN,JB1I2PIZJPV7,Hotels and entertainment services,0.36,0.76,0.08,0.01
JOL,QQ6MQOTWZSO7,Metals and mining ,0.26,0.14,0.8,0.01
LXHP,TPNHM2H9A0H5,Residential and commercial REITs,0.21,0.16,0.81,0.03
IKL,DCK0NARKMTS5,Aerospace and defense,0.45,,0.24,0.52
OYF,TZM0YM9M8S43,Aerospace and defense,,0.2,0.46,0.55
JQBG,ZXULCB1NLFU7,Chemicals ,0.49,,0.72,
QMIL,DZYT75B1B9F6,Collective investments,0.66,0.19,0.36,
TFS,KVDUCOV15PL8,"Computers, phones and household electronics ",0.24,0.42,0.45,0.1
XWI,NA7MKGGBWDD9,Construction and engineering,0.18,0.03,0.56,0.44
ZDV,GJOYPGHBPHT1,Construction and engineering,,0.26,0.5,0.45
WLR,TZ5FPCXY4OE5,Construction materials ,0.15,0.5,0.09,0.47
YHQ,FM4C02UH6SY2,Construction materials ,0.1,0.73,0.38,
YXC,DSSK6ZKRK909,Construction materials ,0.95,0.03,0.06,0.17
CBE,UYFTPPBXU8V4,Diversified industries,0.03,0.39,0.75,0.04
JHI,PJKSAYEFEMG7,Diversified industries,0.15,0.19,0.5,0.37
HVF,ZT02HV6VMEB0,Electric utilities and IPPs,0.16,0.58,0.44,0.03
TATK,HA5HO4WV4OG1,Electronic equipment and parts,0.17,0.23,0.49,0.32
FDXX,OKW33LX6PMP2,Food and tobacco,0.11,0.37,0.15,0.58
IVEB,DV1P13AQI1K0,Healthcare providers and services,,0.35,0.36,0.5
LIHM,BVI3JNQGZTK2,Healthcare providers and services,0.31,0.9,0,
QNGB,VJNEX45Y4YA5,Homebuilding and construction supplies,0.15,0.36,0.12,0.58
SPPB,QZOZ7B6ZZWG6,Insurance,0.73,0.42,0.06,0
HACF,QNU0AZP5ORM9,Investment banking and investment services,0.28,0.15,0.51,0.27
JZZ,DJ2YLJ4FTRJ9,Investment banking and investment services,0.99,0.02,0.02,0.18
NROA,IU1KKTOLVC05,Investment banking and investment services,0.09,0.26,0.59,0.27
UXD,ETDWMQ225KU1,Investment holding companies,0.29,0.47,0.03,0.42
EYH,ILLHF8ZZZK59,Natural gas utilities,,0,0.84,0.37
AIX,WKC39DYYWH46,Oil and gas,0.29,,0.47,0.45
XYTU,QMETAIW6NPE8,Oil and gas,0.16,,0.17,0.88
TKR,CKKS5BINEJW1,Paper and forest products,0.24,0.15,0.7,0.12
AJBV,RWF6FP11FY76,Passenger transportation services,0.4,,0.3,0.51
FLPQ,WPUP8RXFJOD5,Personal and household,0.61,0.52,0.08,
CDQS,LVLTO2VZCYL8,Pharmaceuticals,0.09,0.26,0.86,
LSNT,YJOV63BF7ZH1,Pharmaceuticals,0.31,,0.04,0.86
EWWL,QLOVAQ3ENS26,Renewable energy,0.76,0.06,0.35,0.04
QIE,IS7CK3WP0CX9,Specialty retailers,0.42,0.52,0.1,0.17
JLZI,LV117BAATWZ6,Telecommunications services,,0.26,0.65,0.3
YTT,JP731UGCEIQ5,Telecommunications services,0.33,0.3,0.32,0.26
ODCA,FNVO73Z4V0K1,Textiles and apparel,0.27,0.29,0.12,0.53
XATS,XZY8NGUYVH52,Aerospace and defense,0.33,0.47,0.4,
DDW,QB0SGN6M3DZ9,Banking services,0.15,0.73,0.23,0.09
OEKX,EY2VOZJBDHN8,Communications and networking,0.19,0.21,0.68,0.12
AJO,PHIUJK7UDDX2,"Computers, phones and household electronics ",,0.07,0.45,0.68
VKDI,NMZ6A1VQWWW8,Containers and packaging ,0.03,0.12,0.53,0.52
GQH,AEE07AZTE2H1,Electronic equipment and parts,0.68,0.17,0.22,0.13
WEV,BH8AOJ3W61M8,Electronic equipment and parts,0.31,0.53,,0.36
HJXU,DBNYULDSM4B7,Food and drug retailing,0.4,0.7,0.1,
SYVS,WLPO2VHDFM24,Homebuilding and construction supplies,0.11,0.08,0.34,0.67
SEP,PXDQH3263VX7,Industrial conglomerates,0.28,0.32,0.49,0.11
TBSV,OA2IELG80TA9,Investment banking and investment services,0.33,0.23,0,0.64
WWK,EHU3OKXXQCD8,"Machinery, tools, heavy vehicles, trains and ships",0.81,0.21,0.07,0.11
LQEC,VIIDKSAIMK19,Passenger transportation services,0.16,0.81,0.16,0.07
KZH,LATLHLWU7RU2,Personal and household,0.18,0.05,0.16,0.81
BZWY,FNZ3GIHQ28O4,Real estate operations,0.22,0.79,0.05,0.14
VXQC,XBCHL4QEWSB1,Residential and commercial REITs,0.47,0.67,,0.06
PGB,WSH0K3JXJJL2,Semiconductors,,0.52,,0.68
GEE,VKAATY841494,Software and IT services,0.32,0.24,,0.64
KOH,KYRD36HA0Z61,Software and IT services,0.32,0.19,0.34,0.35
AQF,IYH36YPUQN30,Banking services,0.29,0.46,0,0.45
WGH,GG7AJY9YZ653,Banking services,0.71,0.09,0.3,0.1
UDWW,RQS3VRRGXU77,Biotechnology and medical research,0.44,0.63,0.12,0.01
XEU,ZUGDI78FURV8,Biotechnology and medical research,0.25,,0.05,0.9
YVD,XLK1Y3A4R753,Chemicals ,0.16,0.42,0.24,0.38
EECJ,ZD55W8HXCPI6,Collective investments,0.44,0.02,0.31,0.43
GIHZ,KRDFTV3F0QP2,Collective investments,0.53,0.2,0.13,0.34
WICJ,QN7PA942FN74,Collective investments,0.43,0.25,0.46,0.06
QCXB,JK4BGCOVYWR9,Communications and networking,0.35,0.33,0.45,0.07
HOB,NGBJ1YF47ZK8,Construction and engineering,0.53,0.08,0.07,0.52
ZZAW,ZWD4MTAB5118,Construction and engineering,0.13,0.73,,0.34
KYB,JVZXGUPBPRN9,Containers and packaging ,0.3,0,0.89,0.01
SQJ,FH5ATDDLW604,Diversified industries,0.25,0.18,0.58,0.19
NLT,HOIUG036QOU5,Electric utilities and IPPs,0.11,0.05,0.46,0.58
XOUN,ZV8XOLPC9K20,Electronic equipment and parts,0.31,0.4,0.41,0.08
PBK,QMSZ8TTEPYX2,Healthcare providers and services,0.22,0.36,0.6,0.02
VFJX,UTP8FI2V0G54,Investment holding companies,0.59,0.38,,0.23
VKLV,OBFCNXRJN3P0,"Machinery, tools, heavy vehicles, trains and ships",0.25,0.04,0.87,0.04
IFU,BL45JDC999D6,Media and publishing,0.38,0.29,0.11,0.42
GDGO,EQ64B0MWCP49,Metals and mining ,0.74,0.22,0.24,
CTI,FUSCGA0JB5X3,Natural gas utilities,0.23,0.11,0.42,0.44
HDG,RNHCAII58HQ3,Oil and gas,0.44,0.3,0.02,0.44
ZJT,NK7MDO8R6JQ7,Personal and household,0.11,0.27,0.57,0.25
WPRR,YDTCSYZ8NPH3,Pharmaceuticals,0.03,0.15,0.28,0.74
FOAF,PTN2O8DYS6K6,Real estate operations,0.69,0.34,0.15,0.02
QSZA,KNUSL2GG1N51,Renewable energy,,0.73,0.25,0.22
FDTM,QCH4AMWNPC97,Residential and commercial REITs,0.01,0.36,0.29,0.54
HFEM,ICJE5MMKS520,Telecommunications services,0.29,0.52,0.18,0.21
OGN,RKQ21BEH69C8,Telecommunications services,0.15,0.21,0.54,0.3
UJHU,XNATA1S8Y4N3,Transport infrastructure,0.34,0.58,0.05,0.23
KYIL,XLVP269UP562,Uranium,0.6,0.34,0.22,0.04
RQA,MI6Q9JN9F4E7,Automobiles and auto parts ,0.57,0.09,0.19,0.35
ZJC,DUOZB7MTAYN2,Media and publishing,0.18,0.16,0.73,0.13
RWGK,BG7QKJ9RNKT8,Diversified retail,0.5,0.62,,0.07
TAP,EX6S0B6F2TN0,Investment banking and investment services,0.18,0.22,0.76,0.03
XPL,TUIFNBGN9WU7,Media and publishing,0.17,0.25,0.56,0.21
XGNJ,EGGUKSJ4ZLK5,Passenger transportation services,0.34,0.34,0.41,0.1
YSQL,FEFWTUDIIQ92,Real estate operations,0.66,0.18,0.01,0.34
GLDS,NEIK31AVXRS1,Semiconductors,0.48,0.34,0.06,0.31
DFWA,WF6VHGSW3KH4,Telecommunications services,0.22,0.54,0.36,0.07
WBZ,DTF0E0757OR4,Textiles and apparel,0.03,0.67,0.28,0.21
XBI,ZET6PCT71084,Transport infrastructure,0.66,0.34,0.12,0.07
KBAL,CAC3RCVJ52J1,Uranium,0.11,0.54,0.51,0.03
RGPO,DFFF7AL6SP55,Automobiles and auto parts ,0.06,0.14,0.21,0.78
ZMCW,HHUVTPMON752,Automobiles and auto parts ,0.24,0.39,0.19,0.37
SQL,YNKXU8FYXB07,Coal ,0.69,0.01,0.04,0.45
KHSJ,JO5TMKAHSXV1,Communications and networking,0.33,0.08,0.06,0.72
GSBV,JT1FIHHP99D8,Construction materials ,0.08,0.07,0.59,0.45
XTO,KPYGUWD12OQ4,Diversified retail,0.23,0.33,0.41,0.22
EPHW,TZ5LEDS9KOH1,Food and drug retailing,0.5,0.14,0.08,0.47
WER,YFVGHQS1NBE9,Freight and logistics services,0.35,0.12,0.49,0.23
NNQC,KPVE60804MD7,Homebuilding and construction supplies,0.59,,,0.6
MBGC,ZD797PUIF813,Household goods,0.49,0.22,0.12,0.36
YDG,LDBOBDRMDIK8,Household goods,0.78,,0.19,0.22
EVW,MV7GOUTWI2H6,Investment banking and investment services,0.16,0.48,0.42,0.13
LRZL,XPNT9RAF3IC8,Investment banking and investment services,0.29,0.19,0.67,0.04
TBVW,ZK8XKU72E3H3,Investment banking and investment services,0.76,0.04,0,0.39
GRIY,VGQYCEZBJTW6,Investment holding companies,0.36,0.37,,0.46
QFIZ,QEV4YBPUAMP8,Investment holding companies,0.33,0.13,0.24,0.49
EWJ,UG3KRGD8DHT0,Leisure products,0.41,0.54,0.01,0.23
KMK,YJH15U2U3GQ6,Leisure products,0.33,0.06,0.8,
QBRF,BC8IQK4A5MT9,Leisure products,0.07,0.56,0.19,0.37
ACC,GW0Z0JWC4SH0,Media and publishing,0.09,0.38,0.59,0.13
KCZ,PPU61W4ZB1X4,Natural gas utilities,0.19,0.73,0.22,0.05
GPHB,OL5IPR3L2YK0,Oil and gas related equipment and services,0.13,0.22,0.02,0.82
EYU,CB0M7DYXXDV6,Paper and forest products,0.28,,0.06,0.85
PBVH,UJDLZWZP78P1,Professional and commercial services,0.18,0.75,0.14,0.12
RHQ,ZJDA1QRK0GC6,Professional and commercial services,0.55,0.11,0.24,0.29
VPY,VRZ3TKBFZRO5,Residential and commercial REITs,0.41,0.56,0.03,0.19
ZMY,UIWSEKNIA396,Semiconductors,0.26,0.78,0.15,
ITW,UEJBNAU9OKO8,Software and IT services,0.13,0.58,,0.48
FDKH,QJNL3JEXDOB9,Uranium,0.16,,0.57,0.46
YBTH,FAOO0H1OM7T2,Food and tobacco,0.71,0.19,0.13,0.16
VFBK,TRGVJ10DC3B0,Professional and commercial services,0.57,0.22,0.24,0.16
QOD,XDV99OJZXIL5,Aerospace and defense,0.07,0.07,0.14,0.9
JHI,JUOZ01UIBHF5,Automobiles and auto parts ,0.64,0.18,0.32,0.04
THSH,SWNAFGEP6899,Automobiles and auto parts ,0.04,0.45,0.02,0.67
QPG,SVBJPFF3BVL7,Electronic equipment and parts,0.51,0.25,0.06,0.36
YLQG,PYNIQ18597O4,Electronic equipment and parts,0.08,0.9,0.1,0.1
QFRF,TQQEY7UN01O0,Food and drug retailing,0.8,,0.28,0.1
VWP,QKT8O2I8CW49,Food and tobacco,0.37,,0.02,0.79
TILN,EX4J63LFV0A6,Homebuilding and construction supplies,0.12,0.07,0.59,0.4
UXN,TI3B8ENS9XC4,Homebuilding and construction supplies,,0.51,,0.67
UMN,ADOLA9Y7G9B8,Leisure products,0.27,0.39,,0.52
SXS,SYWLBQTSCMM6,"Machinery, tools, heavy vehicles, trains and ships",0.03,0.9,0.12,0.13
YQR,AMUH4UBQNI57,Media and publishing,0.08,0.96,0.1,0.04
PTL,MFDUOUOTAJE2,Telecommunications services,0.34,0.5,0.34,
XALD,ZQEN0V4Y2WT2,Textiles and apparel,0.04,0.77,0.31,0.06
YWPO,OBO3907AD2X7,Aerospace and defense,0.16,0.35,0.45,0.22
TPO,NX4CJJ06D8B9,Coal ,0.56,0.44,0.18,
DHX,DPSPV9UFHDB2,Collective investments,0.15,0.21,0.82,
VDX,WKWKP9VJWUX0,Communications and networking,0.79,0.19,,0.2
DGE,KZ8RJU570WQ2,Containers and packaging ,0.08,0.66,0.44,
ZYK,WSPTP0S9MG87,Diversified industries,,0.33,0.57,0.28
MLD,TGK7TF4AVB70,Diversified retail,0.41,0.26,0.48,0.03
KJDH,BFSNH36ITIU1,Electric utilities and IPPs,0.05,0.12,0.73,0.28
DRTN,CLAAR15ATO43,Food and drug retailing,0.02,0.94,0.03,0.19
WDAT,POYZ2SCOW897,Freight and logistics services,,0.02,0.3,0.86
WUJV,JWGRN01O0GX2,Healthcare equipment and supplies,0.5,0.13,0.25,0.3
LDFA,LB065417ZPR2,Hotels and entertainment services,0.19,0.07,0.45,0.47
DAR,CDGNXWS03KR3,Industrial conglomerates,0.24,0.51,0.08,0.35
RIBP,GROQVTWNQOF5,Investment banking and investment services,0.35,0.07,0.01,0.75
FAP,ALKN0V5PANE3,Metals and mining ,0.11,0.15,0.7,0.22
SYHY,HQOG5STFY8O2,Multiline utilities,0.11,0.53,0.33,0.21
TART,JQ67CTSHR7C8,Natural gas utilities,0.13,0.15,0.46,0.44
OASZ,KF86T4BC76K0,Office equipment,0.3,0.57,0.06,0.25
TNZ,VD38LVUD3U29,Office equipment,0.43,0.17,0.21,0.37
JIS,XEW2JWMDF511,Oil and gas,0.23,0.21,0.54,0.2
YQJ,YISN8MQ7TZE1,Real estate operations,,0.1,0.84,0.24
MKLL,DB40548LIPT2,Renewable energy,0.37,0.4,0.41,0
SEP,SHG4LCA7JWM5,Residential and commercial REITs,0.13,0.18,0.87,
WDLN,QAXBM2BA6331,Software and IT services,0.58,0.01,0.14,0.45
MXGF,LO98F4SLAWC1,Specialty retailers,0.07,0,0.12,0.99
HRY,QK1OZNCENBJ1,Telecommunications services,0.1,,0.59,0.49
SFVY,PIE9MY0H3LP0,Textiles and apparel,0.22,0.6,0.3,0.06
DSCW,CZASGOYYE573,Transport infrastructure,,0.21,0.64,0.33
NSYZ,CZUY5IU0Z931,Water and related utilities,0.22,0.04,0.6,0.32
VLXX,LAWGDH3ZM432,Collective investments,0.67,0.46,0.04,
KMGA,GCZ2KSUJ8N46,Containers and packaging ,0.65,0.18,0.28,0.06
JPYC,VD28OE52U8Q8,Investment holding companies,0.02,0.98,0.1,0.07
BZAU,PV8HISODS4M7,Office equipment,0.1,0.19,0.34,0.54
TXJD,RKQX0F8XM693,Passenger transportation services,0.46,0.59,0.07,0.05
CHCR,HS8SGNEK7L77,Software and IT services,0.35,0.66,0.09,0.07
IYK,MI8N8FOP79P2,Automobiles and auto parts ,0.44,,0.72,0.01
